id	name	age	country	hometown	height	arm_span	gender
407	Damien You	48.0	FRA	Paris			1
408	Jacky Godoffe	65.0	FRA	melun			1
409	Julien Gras		FRA				1
410	Jacques Larthomas		FRA				1
411	Jean-Marc Merot		FRA				0
412	Jérôme Meyer	42.0	FRA	ST ALBAN LEYSSE			1
413	Jean-Charles Perrier		FRA				0
414	Jeremy Reybon		FRA				1
415	Jean-Paul Storti		FRA				1
416	Jean-Minh Trinh-Thieu	49.0	FRA	Strasbourg			0
417	Kevin Desbrosses		FRA				1
418	Laurent Zizek		FRA				1
419	Michaël Fuselier	41.0	FRA	GRENOBLE			1
420	Mathieu Gallot-Lavallee	48.0	FRA	Villenouvelle			1
421	Michel Jullien		FRA				1
422	Manu Reynaud		FRA				1
423	Philippe Coulaud	64.0	FRA	RAMONVILLE ST AGNE			1
424	Sébastien Gnecchi	43.0	FRA	MARSEILLE			1
425	Stephane Julien	44.0	FRA	CLERMONT FERRAND			0
426	Sylvain Millet	43.0	FRA	Gap			1
427	Cecile Avezou	50.0	FRA	Igny			-1
428	Corinne Theroux	47.0	FRA	Hostun			-1
429	Marianne Berger	46.0	FRA	VELANNE			-1
430	Sandrine Levet	39.0	FRA	URIAGE			-1
431	Romain Cabessut	39.0	FRA	nistos			1
432	Gérome Pouvreau	38.0	FRA	PERTUIS			0
433	Sylvain Chapelle	41.0	FRA	Varces Alliéres et Risset			1
434	Nicolas Januel	39.0	FRA	FONTAINEBLEAU			1
435	Remi Samyn	38.0	FRA	rosny sous bois			1
436	Guillaume Glairon Mondet	35.0	FRA	Albertville			1
437	Romain Desgranges	39.0	FRA	SERVOZ			1
438	Caroline Ciavaldini	37.0	FRA	EGUILLES			-1
439	Anne-Laure Chevrier	33.0	FRA	CHAMBERY			0
440	Romain Pagnoux	35.0	FRA	SEMEAC			1
441	Thomas Caleyron	38.0	FRA	ST ETIENNE			1
442	Alizée Dufraisse	34.0	FRA	SAINT MICHEL DE FRONSAC			-1
443	Mélanie Sandoz	35.0	FRA	REIMS			-1
444	Gautier Supper	31.0	FRA	CHAMBERY			1
445	Charlotte Durif	31.0	FRA	MONTPELLIER			-1
446	Marine Thévenet	32.0	FRA	SAINT JEAN DES VIGNES			-1
447	Manuel Romain	33.0	FRA	VAL DES PRES			1
448	Thomas Ballet	32.0	FRA	VILLEURBANNE			1
450	Thomas Dupin	30.0	FRA	Chambery			1
451	Anatole Bosio	34.0	FRA	MARSEILLE			1
452	Margot Heitz	30.0	FRA	FRONTONAS			-1
454	Melissa Le Neve	32.0	FRA	Pessac			-1
455	Hélène Janicot	28.0	FRA	Voiron			-1
456	Mathilde Becerra	30.0	FRA	TOULOUSE			-1
457	Nolwen Berthier	28.0	FRA	BRON			-1
458	Esther Bruckner	27.0	FRA	Voiron			-1
459	Adrien Tribout	26.0	FRA	PERTUIS			1
460	Clementine Kaiser	30.0	FRA	montauban			-1
461	Charli Blein	29.0	FRA	LES VIGNEAUX			0
