id	name	age	country	hometown	height	arm_span	gender
12912	Vasileios BERTOS	16.0	GRE	XANTHI	163.0	168.0	1
12913	Iasonas VALSAMIDIS	15.0	GRE	XANTHI	173.0	178.0	1
12916	Iraklis PAKOS	17.0	GRE	Athens	183.0	188.0	1
12923	Joana Hristanova	15.0	BUL	Sofia	165.0		-1
12946	Marina Khisamova	25.0	RUS	Moscow	165.0		-1
12947	Lucy Garlick	15.0	GBR		165.0		-1
12972	Alexander Seelig	29.0	GER	Bremen	176.0		1
12981	Iman Arezeh	20.0	IRI	Tehran	177.0	183.0	1
12984	Oleg Bubyr	48.0	RUS	Chehov	195.0		1
13021	Anastasia Sanders	14.0	USA		157.0		-1
13024	Alina Albert	15.0	USA	Escondido	154.0	154.0	-1
13025	Sophia Curcio	16.0	USA	Charlotte	159.0	159.0	-1
13029	Dillon Countryman	15.0	USA		164.0		1
13030	Hugo Hoyer	15.0	USA		178.0		1
13032	Augustine Chi	15.0	USA		162.0		-1
13088	Hemant Gupta	32.0	IND	New Delhi	167.0		1
13106	Alex Mendes Júnior	22.0	BRA	Vitória	171.0	174.0	1
13127	Clara Stricker	15.0	DEN	Hedehusene	166.0		-1
13146	Tomas Kaartinen	17.0	FIN		167.0	178.0	1
13179	Tomas Greksak	36.0	SVK	Bratislava	175.0	190.0	1
13191	Filipe Carvalho	14.0	POR	Mosteiró - Vila do Conde	165.0		1
13193	José Gomes	16.0	POR	Porto	173.0		1
13201	Jason Winkle	45.0	USA	Memphis	186.0		1
13214	Darya Kompaniets	19.0	RUS	Omsk	178.0		-1
13223	Martina RODRIGUEZ OYOLA	20.0	ARG		156.0		-1
13232	Kyle Hardie	15.0	RSA	Douglasdale	166.0	169.0	-1
13239	Julian De Wet	21.0	RSA		171.0		1
13256	Benjamin Kurki	16.0	FIN	Helsinki	184.0		1
13271	Linus Qvarnström	13.0	SWE	Lund	157.0	159.0	1
